"DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","AGE_NAME","MEASURE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"December 2017","Barking and Dagenham 010B","E01000036","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barking and Dagenham 003B","E01000037","Total","All categories: Age 16+","Claimant count","Value",95,"Normal Value"
"December 2017","Barking and Dagenham 003C","E01000038","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 003D","E01000039","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 019A","E01000040","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 017A","E01000041","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 017B","E01000042","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 019B","E01000043","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 016D","E01000044","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 017C","E01000045","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 017D","E01000046","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 021B","E01000048","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 021C","E01000049","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 019C","E01000050","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 021D","E01000051","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 019D","E01000052","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 020A","E01000053","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 018A","E01000054","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 018B","E01000055","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 018C","E01000056","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 012A","E01000057","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 018D","E01000058","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 013C","E01000059","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 006B","E01000060","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 006C","E01000061","Total","All categories: Age 16+","Claimant count","Value",60,"Normal Value"
"December 2017","Barking and Dagenham 006D","E01000062","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 004A","E01000063","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 006E","E01000064","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 007A","E01000065","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 011A","E01000066","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 011B","E01000067","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 016E","E01000068","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 011C","E01000069","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barking and Dagenham 011D","E01000070","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 011E","E01000071","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 017E","E01000072","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 012B","E01000073","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 012C","E01000074","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 012D","E01000075","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 012E","E01000076","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 008F","E01000077","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 007B","E01000078","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 009E","E01000079","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 007C","E01000080","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 007D","E01000081","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 007E","E01000082","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barking and Dagenham 007F","E01000083","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 013D","E01000084","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 013E","E01000085","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 013F","E01000086","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 020B","E01000087","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 020C","E01000088","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 020D","E01000089","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 020E","E01000090","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 022A","E01000091","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barking and Dagenham 019E","E01000092","Total","All categories: Age 16+","Claimant count","Value",50,"Normal Value"
"December 2017","Barking and Dagenham 022B","E01000093","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 022C","E01000094","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 018E","E01000095","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 022D","E01000096","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 023C","E01000097","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 023D","E01000098","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 023E","E01000099","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 004B","E01000100","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 004C","E01000101","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 007G","E01000102","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barking and Dagenham 014A","E01000103","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barking and Dagenham 014B","E01000104","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 014C","E01000105","Total","All categories: Age 16+","Claimant count","Value",50,"Normal Value"
"December 2017","Barking and Dagenham 014D","E01000106","Total","All categories: Age 16+","Claimant count","Value",50,"Normal Value"
"December 2017","Barking and Dagenham 010C","E01000107","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 010D","E01000108","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 004D","E01000109","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 002C","E01000110","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barking and Dagenham 002D","E01000111","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barking and Dagenham 002E","E01000112","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barking and Dagenham 002F","E01000113","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barking and Dagenham 004E","E01000114","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 009A","E01000115","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 009B","E01000116","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 010A","E01000117","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 010B","E01000118","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 009C","E01000119","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 009D","E01000120","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 010C","E01000121","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 009E","E01000122","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 010D","E01000123","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 010E","E01000124","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 024A","E01000125","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 026A","E01000126","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barnet 024B","E01000127","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 024C","E01000128","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 024D","E01000129","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 021A","E01000130","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 024E","E01000131","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 021B","E01000132","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 021C","E01000133","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 024F","E01000134","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 038A","E01000135","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 038B","E01000136","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 041A","E01000137","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 040A","E01000138","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 041B","E01000139","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 041C","E01000140","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 039A","E01000141","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barnet 040B","E01000142","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 041D","E01000143","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 038C","E01000144","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 037A","E01000145","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 038D","E01000146","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 030A","E01000147","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 030B","E01000148","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barnet 036A","E01000150","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 026B","E01000151","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barnet 026C","E01000152","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 026D","E01000153","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barnet 026E","E01000154","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 030D","E01000155","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barnet 022A","E01000156","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 022B","E01000157","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 015A","E01000158","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 015B","E01000159","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 015C","E01000160","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 015D","E01000161","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 015E","E01000162","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 022C","E01000163","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 022D","E01000164","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 022E","E01000165","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 003A","E01000166","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 002A","E01000167","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 003B","E01000168","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 003C","E01000169","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 006A","E01000170","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 006B","E01000171","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barnet 003D","E01000172","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 006C","E01000173","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 006D","E01000174","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 006E","E01000175","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 027A","E01000176","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 029A","E01000177","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 027B","E01000178","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 029B","E01000179","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 029C","E01000180","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 029D","E01000181","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 029E","E01000182","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 033A","E01000183","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 027C","E01000184","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 029F","E01000185","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 014A","E01000186","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 014B","E01000187","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 014C","E01000188","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 014D","E01000189","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 014E","E01000190","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 014F","E01000191","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 018A","E01000192","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 018B","E01000193","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 018C","E01000194","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 013A","E01000195","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 028A","E01000196","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 023A","E01000197","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 025A","E01000198","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 025B","E01000199","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 028B","E01000200","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 028C","E01000201","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 028D","E01000202","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 028E","E01000203","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 025C","E01000204","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 035A","E01000205","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 033B","E01000206","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 033C","E01000207","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 033D","E01000208","Total","All categories: Age 16+","Claimant count","Value",0,"Normal Value"
"December 2017","Barnet 035B","E01000209","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 033E","E01000210","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 035C","E01000211","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barnet 035D","E01000212","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 033F","E01000213","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 038E","E01000214","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 037B","E01000215","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 035E","E01000216","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 035F","E01000217","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 037C","E01000218","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 037D","E01000219","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 037E","E01000220","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barnet 039B","E01000221","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barnet 040C","E01000222","Total","All categories: Age 16+","Claimant count","Value",40,"Normal Value"
"December 2017","Barnet 039C","E01000223","Total","All categories: Age 16+","Claimant count","Value",30,"Normal Value"
"December 2017","Barnet 040D","E01000224","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 037F","E01000225","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 018D","E01000226","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 018E","E01000227","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 007A","E01000228","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 013B","E01000229","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 013C","E01000230","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 013D","E01000231","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 013E","E01000232","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 013F","E01000233","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 021D","E01000234","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 021E","E01000235","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 034A","E01000236","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 032A","E01000237","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 034B","E01000238","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 031A","E01000239","Total","All categories: Age 16+","Claimant count","Value",35,"Normal Value"
"December 2017","Barnet 031B","E01000240","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 031C","E01000241","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 032B","E01000242","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 032C","E01000243","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 032D","E01000244","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 032E","E01000245","Total","All categories: Age 16+","Claimant count","Value",45,"Normal Value"
"December 2017","Barnet 002B","E01000246","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 002C","E01000247","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 001A","E01000248","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 001B","E01000249","Total","All categories: Age 16+","Claimant count","Value",0,"Normal Value"
"December 2017","Barnet 001C","E01000250","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 002D","E01000251","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 002E","E01000252","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 007B","E01000253","Total","All categories: Age 16+","Claimant count","Value",0,"Normal Value"
"December 2017","Barnet 001D","E01000254","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 017A","E01000255","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 016A","E01000256","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 017B","E01000257","Total","All categories: Age 16+","Claimant count","Value",25,"Normal Value"
"December 2017","Barnet 016B","E01000258","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 025D","E01000259","Total","All categories: Age 16+","Claimant count","Value",15,"Normal Value"
"December 2017","Barnet 025E","E01000260","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
"December 2017","Barnet 017C","E01000261","Total","All categories: Age 16+","Claimant count","Value",10,"Normal Value"
"December 2017","Barnet 017D","E01000262","Total","All categories: Age 16+","Claimant count","Value",5,"Normal Value"
"December 2017","Barnet 016C","E01000263","Total","All categories: Age 16+","Claimant count","Value",0,"Normal Value"
"December 2017","Barnet 016D","E01000264","Total","All categories: Age 16+","Claimant count","Value",20,"Normal Value"
